id,nama,Umur,Status,no_hp,alamat
178,Novi Thamrin,19,Sudah Menikah,08379208196,"kOmPLEk DiPONEgoRO nO.127, keC. CiMAHI tEnGaH, bEkasI, JAWa bARaT"
179,Indah Nashiruddin,55,Sudah Menikah,08973836999,"komPlEK DIpONegorO No.38, kECAmATAN CImAHI SELataN, kUNingAn, JawA BarAt"
180,Ade Pranowo,65,Belum Menikah,08007940557,"JaLAn AHmAD yani NO.183, kEc. cIMAHI sELATaN, suMEDaNG, JaWa BARAT"
181,Ani Irawan,25,Sudah Menikah,08488888938,"KOMpLEk MErdeka No.184, kecAMataN CimaHI sELaTAn, maJALENGka, JAwa bArAt"
182,Harto Saefullah,47,Belum Menikah,08697050581,"jl. SUdiRMAn no.68, KeCamAtaN cImahI UTarA, sUKabUmi, Jawa BARAt"
183,"Qori Mulyani, S.H.",66,Belum Menikah,08850071788,"jALaN AHMaD yaNi No.10, kEcaMatAn CImAhi, cImAhI, Jawa BAraT"
184,Marsudi Pudjiastuti,58,Sudah Menikah,08950803065,"komPLEK suDirMAn NO.38, KecamAtan cibEunYINg, SUMEDAng, jaWA baRAT"
185,Najam Saefullah,67,Belum Menikah,08017626058,"KOMpleK sudIrMaN no.156, kecamATAn CiMaHi TeNgah, TASIkmalAYA, jaWA bArAT"
186,"Nalar Adriansyah, M.Kom.",38,Sudah Menikah,08126723249,"KOmPleK dIponeGoRO nO.85, KeCaMAtaN cImaHI utarA, taSIKMalAYA, JaWA BaRat"
187,"Cornelia Wibowo, S.E.",54,Belum Menikah,08384931262,"kOMPLeK DIPOnEgoro nO.57, KEc. KaRAngpaWItAn, SuMedAng, jAWA BArAt"
188,Nadine Pudjiastuti,31,Sudah Menikah,08528754084,"kOmPlek dIPonEgORO nO.141, Kec. cimahI TENgaH, KUNIngan, jAwa BArAT"
189,"Drs. Radit Hariyah, S.Farm",65,Sudah Menikah,08543371980,"gANG pAhlAWaN NO.161, KeCaMAtan CImaHi, bAnJAr, jAWA BarAT"
190,"Dr. Ratna Mardhiyah, S.E.I",18,Belum Menikah,08790184650,"jL. DeWI sARtIkA no.93, kECAMATan CimAhi UTaRA, KUNiNGan, jawa baRAt"
191,Olivia Hutapea,53,Belum Menikah,08522466827,"Jl. mERdEKa No.99, kEC. CimAHI SELAtaN, sUKaBUMI, JaWA BarAT"
192,Wardaya Siregar,69,Sudah Menikah,08169732529,"jl. merDeKA nO.72, KeCAmaTAn cIMAHI SeLatan, garuT, JaWa bARAt"
193,Olivia Prastuti,43,Belum Menikah,08463351001,"Jl. diPONEGoRo No.175, kEC. boJOnG, suBang, JAwa Barat"
194,Harjasa Pudjiastuti,35,Sudah Menikah,08218221396,"kOmpLek DIPONegoRo NO.157, KECAmaTAn CimAHi, sumEDang, jaWa baRaT"
195,"drg. Violet Suwarno, S.E.I",21,Sudah Menikah,08486748029,"KomPLeK AHmaD YAni nO.154, kec. CimaHI TEnGAh, ciANJuR, JAwA barat"
196,drg. Taufan Farida,65,Belum Menikah,08577473546,"JAlAN AHMaD YaNI nO.187, kECaMAtan karANgpawiTAn, bOgor, jawA bARAT"
197,"Nilam Halim, S.IP",42,Sudah Menikah,08147461367,"jL. merdEkA no.139, kEc. BojonG, bOGor, Jawa BArat"
198,Cut Silvia Permadi,68,Belum Menikah,08134580189,"koMPleK SuDIrMAN No.85, KEc. CiMAHi SElATan, CIReboN, jaWA BaRat"
199,Ophelia Sihombing,69,Belum Menikah,08911877018,"KoMPLeK DIpOnEgOrO nO.72, keCamAtaN CIMahi TengAH, MAJALEngkA, JaWA baRAt"
200,"Murti Pradana, S.Farm",62,Sudah Menikah,08719649727,"gang merdeKa no.25, KEc. cimAhi uTAra, cIanJUr, JAWa BarAT"
201,drg. Dian Utami,19,Belum Menikah,08890838739,"jALaN paHLAWAN no.137, KecAMATan cIBeunyING, SuMEDANG, JawA bArat"
202,"T. Martaka Firgantoro, S.IP",56,Sudah Menikah,08382688241,"jaLAn aHmaD YaNI NO.102, KeCAMatAn karangpAwitAN, bANJaR, JAWa barAt"
203,Widya Haryanti,34,Belum Menikah,08544335106,"kOMPlEk sUDIRmAn nO.173, KeCamATaN KaRangPawiTaN, bOGOR, jAwa BarAT"
204,"Kamila Prastuti, S.H.",39,Sudah Menikah,08835905404,"GAnG MerdeKA nO.190, keC. BOjOnG, BekaSI, jaWA BARAT"
205,"Sutan Wakiman Anggraini, S.E.I",44,Belum Menikah,08392418433,"JaLAN PAhlAWAn nO.171, KEcAmATAn CiMAhI utAra, sumedAng, jAWa BARAT"
206,Ian Novitasari,63,Belum Menikah,08474432909,"GaNg aHmad YanI NO.193, KECamataN CiMAHI, mAJaleNGKA, jawA bARaT"
207,Vinsen Purwanti,59,Belum Menikah,08987429919,"koMpleK meRDEKA NO.117, kecamaTan CIMaHI UTaRa, GAruT, jAWa BaRAt"
208,"Dr. Hani Situmorang, S.I.Kom",67,Belum Menikah,08025431771,"jL. merDEKa NO.61, kEC. CImahI tenGaH, ciANjUr, jAWa BArAT"
209,Nova Mandala,22,Belum Menikah,08226973979,"Jl. DIpOnEgoro nO.123, KEC. cimaHI utARA, BAnjar, JAwA BarAT"
210,"Hartana Kuswoyo, S.Sos",63,Sudah Menikah,08143996631,"koMPLeK AhMaD Yani No.100, kecAMAtAN cImaHi selatan, SUbang, jAWa BAraT"
211,Jabal Aryani,34,Belum Menikah,08851108499,"jl. DeWi SaRTIkA nO.152, kecAMaTAn KAraNGPAwITan, pURwakaRtA, JAwA bArAt"
212,Ellis Prastuti,55,Sudah Menikah,08942296446,"KOmPLeK deWI SArtiKA NO.196, kecAMaTAN cImAhi, MaJALenGKA, JAWa barat"
213,Salman Saputra,67,Belum Menikah,08657082869,"jl. SUdiRMan NO.136, KEC. CimaHI seLAtan, KarawANg, jAWa BaRAt"
214,"Zulfa Waluyo, S.Farm",42,Belum Menikah,08848536646,"kOMPLek PahlAWAn NO.41, keC. bOJong, dePOk, JAwa barAT"
215,Dr. Liman Hastuti,19,Sudah Menikah,08462634281,"kOMPlEk ahmAd YaNI nO.179, kEC. CibEuNYinG, GARUt, jAWa bAraT"
216,H. Jarwa Wijayanti,26,Sudah Menikah,08856697476,"koMplEk ahmAD yANI nO.34, keC. cIbeunYiNg, cimahi, JAwA BARaT"
217,"Aurora Permata, M.Farm",27,Belum Menikah,08693287132,"KOmpLeK SUDIRMAN nO.97, kEcAMaTAN cIMahi uTaRA, cIrEBOn, jawA BaraT"
218,"Dt. Eka Mahendra, S.Kom",59,Sudah Menikah,08573661881,"gANg mERDeka No.177, KeCAMaTAn CImaHI Utara, BEKAsi, JAWA BARaT"
219,Hj. Novi Suryatmi,49,Sudah Menikah,08700931653,"gang mERdEKA nO.75, KECamaTaN cimAHi tENgAh, BAnjAR, jAWa bArat"
220,"Himawan Aryani, S.Gz",70,Sudah Menikah,08354811033,"jaLAN mErdEkA NO.47, KEC. cImaHI, SubAng, JaWa bArAt"
221,Ajiman Safitri,35,Belum Menikah,08636926228,"jALAN DEWI saRTIKa nO.28, keCaMAtAn cIMahi SELaTan, majAlEnGka, jaWa barAT"
222,Icha Irawan,17,Belum Menikah,08621683609,"kOMplek deWI SartIka No.118, keC. BOJoNG, SukAbumi, JAwA BARAT"
223,Rachel Lailasari,38,Belum Menikah,08764377480,"JL. dEwI sarTikA NO.163, kECAMataN cImAHI, SUmEdANG, jaWa bARaT"
224,Edi Budiyanto,39,Belum Menikah,08347156454,"JalAN AHMAd YAnI nO.187, keC. cIBeUnYING, cIREbOn, JAWa BArat"
225,Yessi Prakasa,26,Belum Menikah,08920859791,"JL. AHmAD yANi no.190, kECAMATan cimahI TengaH, PurWAkArtA, jawA BARAT"
226,"Kardi Sudiati, S.E.I",34,Belum Menikah,08843037855,"kompLek paHlawAn No.12, Kec. ciMAHI TeNGaH, BOgor, jAwa BARat"
227,Salwa Rahimah,32,Sudah Menikah,08088631097,"Jl. DIPOnEgoRo NO.60, kecaMATaN cimahi, paNgandarAn, jawA BaRAT"
228,Ciaobella Mulyani,36,Belum Menikah,08123899299,"jaLaN sUDirMan No.92, KEcAMATan cIbEUNYinG, DEPOK, jaWa BaRAt"
229,Rafi Salahudin,41,Sudah Menikah,08198467129,"kompLEK SUdIRmAN no.99, kECamatAn cimaHI UTara, PuRwakARTa, jAWA BarAT"
230,Wadi Hartati,32,Belum Menikah,08997490365,"gAnG MerDeka No.131, kEc. cImahI, majaLeNGKa, jAWa baRat"
231,Radit Pertiwi,44,Sudah Menikah,08117502472,"GaNG dEWI SArtika nO.145, kECaMaTan bojoNg, SUKAbUmI, jaWA bARAt"
232,"Ir. Farah Tampubolon, S.IP",17,Belum Menikah,08251619793,"ganG ahMAD yAnI No.46, KECAmatAn kaRaNgpawiTAn, subaNG, JAwa BaRat"
233,KH. Vega Marbun,63,Belum Menikah,08912329031,"jL. MeRDEKA no.86, KECamataN Cimahi, tAsiKmAlayA, jawa barAt"
234,Dr. Zelda Uyainah,60,Belum Menikah,08307054259,"jL. dEwi sartIKA NO.187, KecaMaTaN cIMAHI tENgaH, tasIkMaLayA, jAWA BaRAT"
235,Lukman Putra,67,Sudah Menikah,08181573348,"Jalan DiPonegOro No.1, kEC. cIMahi uTARa, bekAsI, jaWa BArat"
236,Lidya Safitri,31,Sudah Menikah,08832666933,"KomPlEk sUDirMaN No.101, KecAMaTan KaRaNgpAwITan, bEkAsi, jaWA barAT"
237,"Erik Hutasoit, S.I.Kom",40,Sudah Menikah,08087349068,"ganG dipOnEgoRo no.37, KEcAMatan cimAHI tenGah, beKASi, JaWA BaraT"
238,Irsad Wibisono,46,Sudah Menikah,08239049463,"GAnG DEWi SARtIkA no.104, KEC. BOJOnG, SUkaBuMI, jAwA bARAT"
239,Lala Suryono,68,Belum Menikah,08881636076,"jAlaN MERdeKA NO.128, Kec. bOjONG, BOGOR, Jawa BaRAT"
240,"Karsana Prasetyo, M.Pd",66,Belum Menikah,08703446585,"jl. dIPONegoRO NO.67, KecamatAN karANgPaWITaN, Banjar, jawa BARaT"
241,Maya Lazuardi,29,Sudah Menikah,08531418996,"kOMPlEk dEwi saRTIKA no.48, Kec. bOjOnG, CimaHI, JaWa BaRAt"
242,"Betania Saptono, S.H.",43,Belum Menikah,08942559879,"KoMPleK DipoNeGoRO NO.193, kEC. CimAHI TEngAH, mAjAlEnGka, JAwa BARaT"
243,drg. Zulfa Pradipta,69,Sudah Menikah,08938113266,"kOmplEK MErDEkA no.94, KEcaMaTAN bOjOng, CIanJUr, jaWA Barat"
244,"Yono Siregar, M.Kom.",56,Sudah Menikah,08060485505,"KOMplek sUdiRMAn NO.43, kEc. kARANgpawitaN, karaWaNG, JaWa BARat"
245,Ida Handayani,69,Belum Menikah,08200865763,"Gang Dewi sARtIKA no.105, KecAmatAN kArANGPAWiTaN, BAnDuNg, JAWa BARaT"
246,Drs. Zulfa Saptono,51,Sudah Menikah,08632684492,"JAlan DipOnEGORO NO.46, KeCAMAtan cimAHi SelatAn, PanGaNDaRAn, jAWa bARaT"
247,Martaka Hartati,61,Belum Menikah,08139639529,"gang PAhlAwan nO.180, KeC. KaRANGpaWitAN, SUMEdAnG, JAWA BarAt"
248,Amelia Andriani,20,Sudah Menikah,08618341588,"JL. DeWI saRtikA No.174, kECamATaN cImahi, Cimahi, JAWa BARAT"
249,"Cahyadi Wijayanti, S.Ked",67,Sudah Menikah,08430818121,"JAlan aHmaD yAni nO.164, kEcamaTan CIMaHI selAtaN, kUnINGAN, jawa bARAt"
250,Keisha Ardianto,53,Belum Menikah,08156006456,"jAlaN Dewi saRtIkA No.164, KecAMaTaN cIMAhi UTarA, paNGanDaraN, JaWA bARaT"
251,"Tgk. Anastasia Halimah, S.Pt",23,Belum Menikah,08261135076,"kOmPlek mERDeKA NO.154, kEcAmaTaN CimahI, Subang, jAWa BArat"
252,"Ir. Anita Kusmawati, S.Sos",65,Sudah Menikah,08912406666,"GAnG dewi SaRtika NO.98, keC. boJonG, cIAnJUr, Jawa BArAT"
253,Ganda Prayoga,60,Belum Menikah,08918538711,"JalAn deWi saRtiKa NO.99, KEc. CimAHI utARA, BanJaR, JAWa barAt"
254,Bakianto Mandala,26,Sudah Menikah,08749381504,"KoMPlek pahLaWaN nO.192, KeCAMAtAN ciMahI sElATan, sumedAng, jawA bAraT"
255,Jaswadi Rahayu,26,Sudah Menikah,08359778041,"Jl. mERdeKa nO.79, KeCamATaN cibEuNYInG, SukAbUmI, jawa barat"
256,Okto Nababan,45,Sudah Menikah,08309846537,"JAlan paHlaWaN No.132, KEC. ciMaHI UtArA, CireBon, jAWa bArAt"
257,"Dr. Septi Saptono, S.Farm",61,Sudah Menikah,08941965289,"jAlan DiPoneGORO nO.40, KEcaMAtan kAraNGPaWitAN, indRAmAyu, jaWA bAraT"
258,Maman Lazuardi,49,Sudah Menikah,08671036189,"jalan deWI saRtIKa No.86, keC. cImAhI utARa, kArawANg, JAwa BaRAT"
259,"Citra Hutapea, S.Pt",18,Belum Menikah,08334044327,"jalan MeRDeka no.73, kecaMataN KARAnGpAWitan, kUnIngaN, jAWa baRat"
260,"Gandewa Rajasa, M.Kom.",56,Belum Menikah,08281922705,"jl. SUDirMAn No.165, kEC. CimahI utARA, CirEBOn, jAWA bARat"
261,R.A. Tantri Habibi,29,Sudah Menikah,08973184786,"koMpLeK SuDIRman nO.158, KECAmaTAn CimahI tEngAH, taSIKmAlayA, jAWa BARat"
262,Mitra Permata,47,Sudah Menikah,08311588104,"jl. dipoNEGORO No.139, KEC. bojong, BogoR, jaWA BARAt"
263,"Maida Dongoran, S.Pt",66,Belum Menikah,08576471405,"JALaN DIPonEgORO no.10, kec. CImahI TEngah, PURwaKARta, JaWa BaRat"
264,Estiawan Saragih,55,Sudah Menikah,08407729975,"jl. mErdEKa no.180, KECAmATaN ciMahi, tasIkMAlAya, JAWa BaraT"
265,Dalima Mulyani,38,Sudah Menikah,08892480714,"JAlAn PahlAWaN No.82, KeC. Cimahi, cIanjur, JaWA BaRAt"
266,Cengkal Siregar,40,Sudah Menikah,08190662267,"JL. DiPONegOrO no.143, kEcAmAtAN boJonG, cIAnJur, jawa bARAt"
267,"Ir. Shakila Sihombing, M.Farm",53,Sudah Menikah,08288013673,"KOmpLeK DipOneGoRO nO.62, KEc. boJOnG, beKaSI, JAWA BaraT"
268,"R.A. Putri Nugroho, S.Kom",51,Sudah Menikah,08391085815,"jalAn MErDekA No.94, Kec. boJOnG, banjAR, JaWa barAt"
269,Cut Salsabila Dabukke,37,Belum Menikah,08290717404,"JAlAn MERdeKa NO.92, keCAMaTan CimAhi TengAH, sukaBuMI, jawA bArAT"
270,Citra Samosir,70,Sudah Menikah,08937620203,"Jl. dEwI saRTIKa NO.182, KeC. ciMAHi Utara, bAnjAR, JaWA BaRAT"
271,R.M. Ian Usamah,24,Belum Menikah,08267985098,"KoMPLeK SUdirmAN no.81, kEC. CiMaHI sELaTaN, SUkaBUmI, JAWa bARat"
272,"Ade Wastuti, S.Gz",42,Belum Menikah,08204101266,"gaNg pAHlAwAn NO.78, kECaMATaN cimAhI sElaTAn, GaRuT, JAwa barat"
273,Saka Iswahyudi,29,Belum Menikah,08617733840,"jl. DipONEgORo NO.34, kEcaMataN cImahi uTarA, BEKasi, Jawa BaraT"
274,"Rafi Hutagalung, M.Pd",19,Belum Menikah,08960158592,"KoMplek dipoNEGoRo no.169, KeC. cIbeUnYIng, sUMEdANG, jaWA bAraT"
275,Elvin Firgantoro,39,Belum Menikah,08184925303,"JAlaN SUdIrMaN No.62, kEc. CIbeUnyING, sumeDaNg, jAwA BaRat"
276,Usman Sudiati,37,Sudah Menikah,08725362386,"GANg dIponEGORo no.145, KEC. karANgpaWiTan, INDRamAYu, JAwa BArat"
277,Puti Paramita Kuswoyo,38,Belum Menikah,08668125221,"kompLEk AhmAD yaNI No.29, keCamAtAn kaRanGpaWItan, GArUT, JAwa BarAT"
278,Caraka Saputra,51,Sudah Menikah,08391283809,"jAlan PAhLawan No.108, kECAMatan ciMAHi teNGah, CiANJuR, JAWa Barat"
279,"Latika Yuliarti, S.E.I",18,Sudah Menikah,08564618959,"JaLAn AHmaD YanI nO.21, kecaMAtAN karAnGPawItAn, bAnjar, jAwA BArAT"
280,Ophelia Prabowo,28,Belum Menikah,08973697083,"jl. merdEka NO.88, KeC. cIbEUNYiNG, KUNINGAN, jawa BaRat"
281,Wulan Purwanti,19,Sudah Menikah,08507835855,"jL. SudIrman nO.138, kEc. boJONG, cIReBon, JaWa bARaT"
282,Shakila Mardhiyah,29,Sudah Menikah,08804276823,"GAnG aHmaD yanI NO.107, kECAMaTAN cIMahI sELaTAN, pAnGAnDaRAn, JawA BArAT"
283,Maimunah Pertiwi,58,Belum Menikah,08129696044,"jALan PahlAWAN nO.66, kecaMAtan CImAhI, GaRUt, JAwa BarAT"
284,Taufan Pradana,24,Belum Menikah,08874365194,"koMplEK aHMaD YAnI NO.20, kecAMAtaN ciMAhI tengah, BOGOR, jaWa BArat"
285,"Puti Tari Thamrin, S.Psi",70,Sudah Menikah,08538044986,"jL. PaHLaWan NO.174, kec. CiMaHi SELatAn, InDrAMaYU, jAWa BaraT"
286,"Gasti Mangunsong, S.Ked",36,Sudah Menikah,08958262341,"jalan PaHlawaN nO.152, KEcAMAtAN kaRANgPaWItAn, BekAsi, JaWA BARaT"
287,"Tira Hakim, S.Farm",46,Sudah Menikah,08139371916,"jL. AHmaD yANi NO.195, KEcamATan BoJONG, KArAWANg, Jawa BarAT"
288,Candra Sihombing,51,Sudah Menikah,08761569522,"jl. aHMad yanI No.58, keCaMATan BOjong, cIANjUr, JAwa BAraT"
289,"Uda Hardiansyah, S.Sos",65,Sudah Menikah,08820916951,"jL. SudirmAN NO.22, kEc. cImaHI TenGAh, bEkASI, jAWA bArAT"
290,Mustika Maheswara,64,Belum Menikah,08844122044,"JaLaN sUdiRmAN no.96, kec. CiBEuNyIng, sUMedANg, jaWA BARat"
291,Ifa Hidayanto,50,Belum Menikah,08877827191,"kOMpLeK SudIrMaN no.81, kec. BoJOnG, bOgOr, jAWA BARaT"
292,Ilsa Ardianto,56,Sudah Menikah,08391820771,"JALan AHmAd Yani NO.5, KeCAMatAN CiMaHI tEnGAH, depOk, JaWa barAT"
293,Ir. Vanya Permata,42,Belum Menikah,08658781104,"Jl. dEwI SARTIKa no.113, keC. KARANGPAWITAn, CiREBon, jawa barAt"
294,Pangeran Farida,55,Sudah Menikah,08894255218,"Jl. aHmaD yANi nO.76, KEcamAtAn BOJong, SuMEDang, JAwA BArAt"
295,Bakti Halim,66,Sudah Menikah,08202300540,"KomPleK meRdEKa No.142, kECAmATAN BojONG, MAJAlEngkA, JawA BArat"
296,"Ibrani Sihotang, S.Ked",70,Sudah Menikah,08898132575,"gANG AhmAD YanI nO.129, Kec. cimAHI TeNGAh, kuNiNgAN, jAwa BaRAt"
297,"Hardi Wasita, M.TI.",58,Sudah Menikah,08466987518,"komPLEk PaHLawan NO.163, Kec. cImahI TEnGAh, MajALenGKA, jaWa bArAT"
298,"R. Cahya Pratiwi, M.Kom.",53,Belum Menikah,08133470618,"jAlaN DIponegoRO No.191, KEcAmATAN cImahI utAra, bOgOR, JAwa BArat"
299,Irfan Purwanti,53,Belum Menikah,08223799331,"koMplEK pAHlawAn nO.114, kEcAMAtan ciMahi sELATaN, bOgoR, JAwA bARAT"
300,"Drs. Ana Padmasari, S.I.Kom",44,Sudah Menikah,08881161979,"jAlAN PahLawaN NO.173, kECamAtaN cimAHi SeLaTaN, SuMEDaNG, JAwa bArAt"
301,T. Kariman Hariyah,24,Belum Menikah,08086142217,"gang paHLaWAn NO.140, KEc. cIMahI SelATaN, DEPoK, JAwa bArAT"
302,"Galak Usada, S.T.",64,Sudah Menikah,08203332495,"jaLAn ahMAD Yani no.194, KEcAMataN ciMaHi, CIrEbON, JAWa BarAT"
303,Gadang Permadi,40,Sudah Menikah,08844461678,"Jl. pAHLAwAN NO.43, Kec. bOJoNg, CIAnJur, JAwa BAraT"
304,Genta Hasanah,25,Sudah Menikah,08395038675,"kompLEK SUDIRman NO.171, kecamaTaN CiMAHI, ciREBoN, jAWa bARAT"
305,"KH. Sidiq Yuniar, M.M.",22,Sudah Menikah,08266256704,"KoMPlek DEWI SARtika NO.107, KEcAmaTAN KaRaNGpAWITAN, Subang, jAwa barAt"
306,"Dr. Jessica Hutapea, S.Psi",66,Sudah Menikah,08633824025,"kOMPleK suDirmAN No.87, KecAmataN cimaHi tENgaH, inDRAMayU, jawa bAraT"
307,Tomi Suryatmi,32,Sudah Menikah,08204459091,"KOmPLek aHmAd YANI No.103, KeC. KArANgPAWITAn, depOk, Jawa Barat"
308,"Drs. Lala Megantara, S.Ked",34,Sudah Menikah,08542278619,"Gang dIPONEgOrO No.190, keC. CImaHi SElAtan, cIreBoN, JaWA bARAT"
309,"Zamira Mandala, S.Pt",23,Belum Menikah,08561959277,"gAng mErDEka nO.106, KecAmatan cibEUNYINg, GARut, Jawa BaRaT"
310,"Widya Nainggolan, S.I.Kom",48,Belum Menikah,08276215213,"jALAn MERDeKA no.50, kecAmAtaN cibEuNyInG, bEKasI, jAWA BaraT"
311,Bala Zulkarnain,48,Sudah Menikah,08027924110,"kOmpLeK sudIRmAN NO.183, kEc. cImaHI UTARA, TASIkMalAya, Jawa baRaT"
312,Sadina Mahendra,21,Sudah Menikah,08113277960,"jL. dEWi saRtIkA NO.130, kECaMATan cIMAHI UTarA, CiMahi, jaWa bARaT"
313,Ayu Haryanti,60,Sudah Menikah,08636890004,"gaNG sUDirMAn No.194, KECamAtAn BoJong, maJalenGkA, Jawa bARat"
314,Tami Namaga,58,Sudah Menikah,08424444052,"jL. sUdirman nO.70, KEC. CImAhI, CIanJUr, jAWA BarAt"
315,Shania Mardhiyah,52,Sudah Menikah,08092128136,"koMPLEk suDirMan No.193, KecamaTAN CIBeUnying, dePOK, jAWa baRaT"
316,"H. Asman Widodo, S.T.",62,Belum Menikah,08714916277,"koMPlEK SudiRMAN NO.139, KEC. CimAHi uTARA, TaSIkmaLAyA, JawA baRAt"
317,"Hilda Haryanto, S.IP",20,Belum Menikah,08571296378,"gANG aHmad yAni nO.1, KEcamATAn CimahI, KUninGaN, jAWa BARAT"
318,"KH. Harjaya Iswahyudi, S.Pd",68,Sudah Menikah,08762144591,"KOMPlEk pahLAwAn nO.175, kECamATAn Cimahi TenGaH, CImahi, JAWa baRat"
319,Mulyanto Puspasari,69,Sudah Menikah,08154810604,"ganG paHlAWan NO.110, KEc. KarANgpawItAN, CiReBON, jAwa BaRaT"
320,Dt. Bakiono Uwais,31,Belum Menikah,08186728562,"Gang PAHlAwan no.139, kec. CIMAhI uTArA, cIREBon, JawA BarAT"
321,Daliono Simbolon,45,Belum Menikah,08036113498,"Jl. dIpONeGoRO no.181, KECAmaTAn BojoNg, pAnGandarAn, JAwA baRaT"
322,H. Daryani Irawan,70,Sudah Menikah,08610620525,"Jl. ahMAD yaNI no.61, keCaMatAn BOjONg, tASiKmALayA, JaWa bARAt"
323,Nurul Situmorang,59,Belum Menikah,08427025572,"KOMPlEk DIponEgoro nO.41, Kec. CIbeUnyinG, garUt, jaWa BAraT"
324,Nadia Nasyiah,53,Belum Menikah,08160104128,"jAlaN PaHLAwAn no.8, kEC. bojong, bAnjAR, Jawa bARaT"
325,Novi Hariyah,49,Belum Menikah,08758792554,"GaNg pAhlawAN nO.138, Kec. KAraNGPAWiTAn, pANgaNdaRan, JAwa bARAt"
326,Ilyas Budiyanto,47,Sudah Menikah,08096721653,"Gang AhmaD yani No.1, keCaMataN cIBEUnYINg, BEkasI, jaWA BARat"
327,Yono Budiman,35,Sudah Menikah,08611108537,"GANg mErdEka No.144, kEcAMATAN CImaHi tEnGaH, SUbanG, Jawa BArAt"
328,Candra Firgantoro,55,Sudah Menikah,08279255899,"jL. MerdekA NO.128, keC. cIMAhi uTaRA, suKABuMI, jawa BarAT"
329,dr. Silvia Nainggolan,33,Belum Menikah,08320593690,"koMplEk MerDeka NO.173, keC. CImaHI UtAra, KArAWanG, JaWA BARAt"
330,Laila Utami,47,Sudah Menikah,08077483766,"KoMPLeK suDIRmAN No.82, kecaMAtan ciMahI UTAra, cireBON, jAWa BArAt"
331,Jais Purnawati,67,Sudah Menikah,08594841333,"JL. mErDekA NO.181, kEc. BOJOnG, mAJAlEngkA, jAWa barat"
332,Vino Permata,52,Belum Menikah,08245940130,"gaNG PAHLaWan No.159, kECAMAtaN cIMahI sElaTAN, pANgaNDaRAN, jAwA baRAT"
333,Garang Nababan,22,Belum Menikah,08203245212,"JALan SudiRmaN No.4, kEc. cImAhI TENgah, MaJalENgkA, JaWa BARAt"
334,Sakti Purnawati,21,Sudah Menikah,08580653655,"gANg meRDekA no.87, kECamaTAn KAranGpaWitaN, KunInGan, Jawa BARaT"
335,Galuh Adriansyah,44,Sudah Menikah,08324943148,"GANG sudirMan NO.129, Kec. CImahI, TasiKMALaya, JAWA BARAt"
336,Halima Januar,31,Belum Menikah,08535958481,"GANG DEWI sARTiKa no.121, KEcAMatAn ciMAHi tEnGAh, pURwakaRTA, JawA BARat"
337,Kasiran Puspita,51,Sudah Menikah,08268260512,"kOMplek sudirman nO.185, KEc. CIMaHi TeNGah, BEKasi, JawA bARat"
338,KH. Dartono Permata,28,Belum Menikah,08251643357,"GAng DewI SArtIKa nO.142, KEC. CImahI UTARA, bogOr, JAWa barat"
339,"Daniswara Prastuti, S.Psi",36,Sudah Menikah,08616211422,"GaNg dIPONeGORO nO.127, KeC. CimAHi, cIRebon, Jawa BARat"
340,Hari Namaga,62,Sudah Menikah,08950777034,"JAlAn pAHlAwan NO.101, kECamatan CImAhI, KaRAWaNg, jaWa bArAt"
341,Dr. Kartika Pradana,49,Sudah Menikah,08747863159,"KOMPLeK meRdekA no.142, kecAMAtAN CIMaHI uTara, dePok, JAWa BARAT"
342,Hamima Wahyudin,40,Belum Menikah,08268909521,"komPLEK pahLAWAn NO.29, kec. bOjonG, ciANjUr, jawa bARAT"
343,"Dartono Nainggolan, S.Ked",56,Sudah Menikah,08998623317,"KoMPLEk dIpoNEGoRo no.16, kec. boJOnG, pANGAndAran, jAwA BARat"
344,"Prima Januar, S.Gz",18,Sudah Menikah,08696862028,"JaLAN pahLAWan no.15, kEC. cImAHi TEnGAh, tAsIKMalAYa, Jawa BArAt"
345,Hasan Mayasari,45,Sudah Menikah,08850869670,"GaNg deWI sartIka no.21, KecamaTAn CiMahI, majalENGKa, jAWa barat"
346,Iriana Sihombing,51,Belum Menikah,08062972677,"koMPLeK paHLawAn NO.140, KecamAtaN cImaHi sELatAn, BaNjar, jaWA bArAt"
347,Jabal Halim,19,Belum Menikah,08285718710,"jAlAn sudIRmaN nO.183, Kec. CimaHi TeNGAh, SUmeDaNg, jawA BaRAt"
348,Drs. Jindra Wijaya,34,Sudah Menikah,08696085441,"kOmplek diponEgorO nO.30, kec. bOjonG, bANDUng, JaWa BaRaT"
349,Juli Melani,56,Belum Menikah,08477843257,"JAlAn DiPonegoro no.106, keC. Cimahi, Bekasi, jawA bArAT"
350,Jelita Budiman,62,Sudah Menikah,08628195947,"jalAn suDIRMan NO.161, KECamaTaN BojONG, PangANDaran, jawa BArAT"
351,Gatot Susanti,30,Belum Menikah,08816887622,"GanG Dewi SartIkA nO.191, KEc. cImAHI, mAjalengka, jAWA baRAt"
352,Amelia Mahendra,25,Belum Menikah,08184500915,"Jl. pahlAWAn nO.154, kec. CimAHi, cimAHi, JawA Barat"
353,"Kajen Purnawati, S.T.",52,Sudah Menikah,08154079012,"JL. ahMAD yANi nO.156, kEcAmaTAN CIMAhI UTarA, KArAwaNg, jaWa bARat"
